model,task,variant,score,score_n,score_p,num_trials,std,std_n,std_p,correct,incorrect,invalid,timestamp,human_baseline,human_answer_baseline
deepseek-coder-7b,output_control,plain,0.0,0.0,0.0,300,0.0,0.0,0.0,0,300,0,25-07-31T135320,,
deepseek-coder-7b,output_control,sp,0.195,0.195,0.195,200,0.028,0.028,0.028,39,161,0,25-07-30T112658,,
deepseek-coder-7b-instruct,output_control,plain,0.0,0.0,0.0,200,0.0,0.0,0.0,0,200,0,25-07-30T113521,,
deepseek-coder-7b-instruct,output_control,sp,0.0,0.0,0.0,200,0.0,0.0,0.0,0,200,0,25-07-30T113534,,
qwen2-7b,output_control,plain,0.225,0.225,0.225,200,0.03,0.03,0.03,45,155,0,25-07-30T115028,,
qwen2-7b-instruct,output_control,plain,0.07,0.07,0.07,200,0.018,0.018,0.018,14,186,0,25-07-30T115803,,
deepseek-llm-7b,output_control,plain,0.0,0.0,0.0,300,0.0,0.0,0.0,0,300,0,25-07-30T210856,,
mistral-7b,output_control,plain,0.01,0.01,0.01,200,0.007,0.007,0.007,2,198,0,25-07-30T124425,,
llama-2-7b,output_control,plain,0.0,0.0,0.0,200,0.0,0.0,0.0,0,200,0,25-07-30T134320,,
phi-2,output_control,plain,0.0,0.0,0.0,300,0.0,0.0,0.0,0,300,0,25-07-30T205104,,
deepseek-llm-7b-chat,output_control,plain,0.07,0.07,0.07,300,0.015,0.015,0.015,21,279,0,25-07-30T211636,,
qwen2.5-7b,output_control,plain,0.0,0.0,0.0,300,0.0,0.0,0.0,0,300,0,25-07-31T143804,,
qwen2.5-3b,output_control,plain,0.0,0.0,0.0,300,0.0,0.0,0.0,0,300,0,25-07-31T182051,,
qwen2.5-3b-instruct,output_control,plain,0.017,0.017,0.017,300,0.007,0.007,0.007,5,295,0,25-07-31T201808,,
llama-3.1-8b,output_control,plain,0.0,0.0,0.0,750,0.0,0.0,0.0,0,750,0,25-08-01T074821,,
llama-3.2-3b,output_control,plain,0.0,0.0,0.0,750,0.0,0.0,0.0,0,750,0,25-08-01T085756,,
gpt-oss-20b,output_control,plain,0.0,0.0,0.0,3,0.0,0.0,0.0,0,3,0,25-08-13T165912,,
